survey,activity,age_group,n,tot,date
pico1,1,"[0,18)",151,308,2020-04-15
pico1,2,"[0,18)",34,308,2020-04-15
pico1,3,"[0,18)",27,308,2020-04-15
pico1,4,"[0,18)",40,308,2020-04-15
pico1,5,"[0,18)",38,308,2020-04-15
pico1,6,"[0,18)",18,308,2020-04-15
pico2,1,"[0,18)",140,851,2020-06-15
pico2,2,"[0,18)",40,851,2020-06-15
pico2,3,"[0,18)",41,851,2020-06-15
pico2,4,"[0,18)",58,851,2020-06-15
pico2,5,"[0,18)",106,851,2020-06-15
pico2,6,"[0,18)",466,851,2020-06-15
pico4,1,"[0,18)",180,564,2021-02-15
pico4,2,"[0,18)",46,564,2021-02-15
pico4,3,"[0,18)",42,564,2021-02-15
pico4,4,"[0,18)",51,564,2021-02-15
pico4,5,"[0,18)",67,564,2021-02-15
pico4,6,"[0,18)",178,564,2021-02-15
pico5,1,"[0,18)",63,406,2021-06-15
pico5,2,"[0,18)",15,406,2021-06-15
pico5,3,"[0,18)",18,406,2021-06-15
pico5,4,"[0,18)",31,406,2021-06-15
pico5,5,"[0,18)",39,406,2021-06-15
pico5,6,"[0,18)",240,406,2021-06-15
pico1,1,"[18,65)",528,1398,2020-04-15
pico1,2,"[18,65)",180,1398,2020-04-15
pico1,3,"[18,65)",126,1398,2020-04-15
pico1,4,"[18,65)",188,1398,2020-04-15
pico1,5,"[18,65)",215,1398,2020-04-15
pico1,6,"[18,65)",161,1398,2020-04-15
pico2,1,"[18,65)",742,3948,2020-06-15
pico2,2,"[18,65)",325,3948,2020-06-15
pico2,3,"[18,65)",389,3948,2020-06-15
pico2,4,"[18,65)",595,3948,2020-06-15
pico2,5,"[18,65)",852,3948,2020-06-15
pico2,6,"[18,65)",1045,3948,2020-06-15
pico4,1,"[18,65)",1143,3543,2021-02-15
pico4,2,"[18,65)",439,3543,2021-02-15
pico4,3,"[18,65)",439,3543,2021-02-15
pico4,4,"[18,65)",503,3543,2021-02-15
pico4,5,"[18,65)",501,3543,2021-02-15
pico4,6,"[18,65)",518,3543,2021-02-15
pico5,1,"[18,65)",743,3074,2021-06-15
pico5,2,"[18,65)",271,3074,2021-06-15
pico5,3,"[18,65)",333,3074,2021-06-15
pico5,4,"[18,65)",451,3074,2021-06-15
pico5,5,"[18,65)",597,3074,2021-06-15
pico5,6,"[18,65)",679,3074,2021-06-15
pico1,1,"[65,Inf)",191,363,2020-04-15
pico1,2,"[65,Inf)",51,363,2020-04-15
pico1,3,"[65,Inf)",38,363,2020-04-15
pico1,4,"[65,Inf)",51,363,2020-04-15
pico1,5,"[65,Inf)",23,363,2020-04-15
pico1,6,"[65,Inf)",9,363,2020-04-15
pico2,1,"[65,Inf)",491,1501,2020-06-15
pico2,2,"[65,Inf)",209,1501,2020-06-15
pico2,3,"[65,Inf)",214,1501,2020-06-15
pico2,4,"[65,Inf)",251,1501,2020-06-15
pico2,5,"[65,Inf)",221,1501,2020-06-15
pico2,6,"[65,Inf)",115,1501,2020-06-15
pico4,1,"[65,Inf)",693,1489,2021-02-15
pico4,2,"[65,Inf)",269,1489,2021-02-15
pico4,3,"[65,Inf)",206,1489,2021-02-15
pico4,4,"[65,Inf)",186,1489,2021-02-15
pico4,5,"[65,Inf)",101,1489,2021-02-15
pico4,6,"[65,Inf)",34,1489,2021-02-15
pico5,1,"[65,Inf)",509,1453,2021-06-15
pico5,2,"[65,Inf)",154,1453,2021-06-15
pico5,3,"[65,Inf)",196,1453,2021-06-15
pico5,4,"[65,Inf)",221,1453,2021-06-15
pico5,5,"[65,Inf)",221,1453,2021-06-15
pico5,6,"[65,Inf)",152,1453,2021-06-15
