date	birthyear
2021-03-06	1941
2021-03-06	1942
2021-03-06	1943
2021-03-06	1944
2021-03-06	1945
2021-03-06	1946
2021-04-02	1947
2021-04-02	1948
2021-04-10	1949
2021-04-10	1950
2021-04-10	1951
2021-04-15	1952
2021-04-20	1953
2021-04-20	1954
2021-04-23	1955
2021-04-26	1961
2021-04-30	1962
2021-05-16	1963
2021-05-16	1964
2021-05-17	1965
2021-05-20	1966
2021-05-22	1967
2021-05-22	1968
2021-05-25	1969
2021-05-25	1970
2021-05-26	1971
2021-05-27	1972
2021-05-27	1973
2021-05-28	1974
2021-05-28	1975
2021-05-29	1976
2021-05-30	1977
2021-05-30	1978
2021-05-31	1979
2021-05-31	1980
2021-06-01	1981
2021-06-03	1982
2021-06-04	1983
2021-06-06	1984
2021-06-07	1985
2021-06-07	1986
2021-06-08	1987
2021-06-09	1988
2021-06-10	1989
2021-06-10	1990
2021-06-11	1991
2021-06-12	1992
2021-06-13	1993
2021-06-14	1994
2021-06-15	1995
2021-06-15	1996
2021-06-16	1997
2021-06-16	1998
2021-06-17	1999
2021-06-17	2000
2021-06-18	2001
2021-06-18	2002
2021-06-19	2003
2021-07-02	2004
2021-07-04	2005
2021-07-05	2006
2021-07-08	2007
2021-07-10	2008
2021-07-11	2009
